Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,MagneticBuzzer_PUI_SMT-1028-T-2-R,1,FUET-7525-3.6V,
"C1, C2",0805,2,10uF/25V,
"C10, C26, C28, C33, C34, C37",0603,6,100nF/50V,
"C25, C27, C8",0603,3,1uF/50V,
"C29, C35, C36, C9",0402,4,100nF,
"C3, C4",0805,2,100nF/50V,
"C5, C6",0805,2,22uF/10V,
"C62, C63, C65, C66",0402,4,1nF,
"D1, D5",D_SOD-123,2,1N5819HW-7-F,
"D13, D14, D15, D16, D17, D18, D19, D20, D24, D25, D26, D27",0603,12,LED WHITE,
D2,D_SOD-123F,1,SMF13CA,
D21,SOT-23,1,ESDA6V1L-GK,
D22,0603,1,Green_smd,
D23,D_SMA,1,M7,
D3,SOT-23,1,SM712,
D4,LED_ASMB-KTF0-0A306,1,SK6812MINI,
"D6, D7",D_SOD-123F,2,SMF15A,
J2,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
J3,Hirose_DF3EA-12P-2H_1x12-1MP_P2.00mm_Horizontal,1,Conn_01x12_MountingPin,
K2,Relay_DPDT_Omron_G5V-2,1,HRS2H-S-DC12V-N,
L1,L_Vishay_IHLP-2020,1,3.3uH,
"Q13, Q2",SOT-23,2,BC817,
Q3,SOT-363_SC-70-6,1,BC846BS,
"R10, R11, R12, R13, R14, R15, R16, R17, R27, R28, R29, R30, R4, R5, R6, R7, R8",0402,17,10K,
R2,0603,1,33.2K/%1,
"R20, R51",0603,2,2M,
R22,0603,1,5.1K,
"R23, R24",0402,2,510R,
R3,0603,1,10K/%1,
R45,0603,1,1K,
"R46, R47",0402,2,3.3K,
R48,0603,1,4.7K,
R52,0603,1,20K,
R53,0603,1,510K,
"R54, R55, R58",0603,3,560R,
R56,0603,1,120R,
"R57, R59",0402,2,100R,
"R60, R61, R62, R63, R65, R66, R67, R68, R69, R70, R71, R75",0402,12,330R,
U1,SOT-23-5,1,TLV70450DBVR,
U11,SSOP-8_2.95x2.8mm_P0.65mm,1,TXS0102DCT,
"U15, U17",TSSOP-16_4.4x5mm_P0.65mm,2,"74HC595PW,118",
U16,SOIC-8_5.3x5.3mm_P1.27mm,1,GM3085E,
U2,SOT95P280X110-6N,1,TPS562201DDCR,
U3,ESP32-WROOM-32E,1,ESP32-WROOM-32UE,
U5,QFN_32_5X5,1,TSM12M,
U6,XR1300_QR_READER,1,XR1300,
"U7, U8",SOIC-4_4.55x2.6mm_P1.27mm,2,TLP185(SE,
